新北市,1538,2202,1600,1019,947,1007,2694,3468,2819,1850
臺北市,839,1144,402,478,224,246,256,267,289,259
桃園市,878,1276,2917,2137,1377,1560,1442,1827,2079,2518
臺中市,1237,1473,1479,1498,1555,1369,1495,2306,2181,2628
臺南市,1022,1089,1112,1338,1637,1936,2072,2554,2931,3120
高雄市,1860,1419,2514,3055,2475,2564,2663,6304,6331,4369
宜蘭縣,201,222,336,232,286,263,530,647,566,628
新竹縣,315,352,368,466,442,441,849,831,1008,1255
苗栗縣,561,473,446,502,447,507,726,645,591,581
彰化縣,1135,971,901,627,571,1473,1755,968,893,916
南投縣,226,210,309,469,710,659,312,415,493,495
雲林縣,561,987,929,695,704,1005,649,788,955,3360
嘉義縣,254,273,300,220,260,407,485,296,211,235
屏東縣,378,471,529,1210,1777,2000,2220,2483,2896,3261
臺東縣,79,98,135,182,413,125,113,149,143,136
花蓮縣,295,310,281,259,226,250,204,230,194,422
澎湖縣,148,111,99,196,123,162,128,162,109,43
基隆市,67,54,116,64,37,78,58,119,128,172
新竹市,624,601,566,765,635,729,654,823,688,1110
嘉義市,197,197,251,253,321,363,403,406,592,668
金門縣,28,25,57,76,61,110,142,210,210,228
連江縣,13,13,13,42,41,17,20,25,31,48
