新北市,100656,108730,116865,115976,112080,118048,143667,183763,223446,237379
臺北市,169328,162125,182306,159493,163783,122608,156446,156696,164591,158473
桃園市,46405,57078,68056,79055,56854,55941,70286,95851,123899,122583
臺中市,44386,57603,64342,66337,60779,67476,68729,87493,88478,98383
臺南市,70499,67306,70076,73431,74567,77265,78737,98743,104010,119032
高雄市,94844,79090,78614,77900,75440,72414,73154,99818,113347,127633
宜蘭縣,13268,13257,13234,13151,15004,18394,21283,25272,25025,25598
新竹縣,24369,25270,24041,25343,24208,25064,27220,35330,38893,40783
苗栗縣,14661,14695,16727,18125,21315,19132,23629,22563,23171,24972
彰化縣,17410,19744,24944,21143,21719,30728,37677,42932,48742,47949
南投縣,10377,10450,12029,12263,14243,17383,18602,20142,23530,26585
雲林縣,13651,16604,18886,19457,23504,23803,23290,39015,40583,41725
嘉義縣,19018,20348,19833,24651,24092,26172,29119,33283,30846,31918
屏東縣,23260,20237,21308,25151,25665,29966,38903,47313,53207,46170
臺東縣,2346,2755,2812,3074,5810,10272,11250,12439,13513,14190
花蓮縣,7055,6936,7303,7635,7183,7089,7068,8605,9492,11245
澎湖縣,1184,1162,1457,1497,907,2524,3823,4876,5078,5227
基隆市,6543,6331,5680,6120,7501,10283,13216,20624,20762,23874
新竹市,5017,6016,6464,7781,7811,7542,7540,8547,8211,7934
嘉義市,10309,9677,12866,12394,13008,13408,13863,23558,33719,28302
金門縣,736,1003,2327,2340,2148,2799,2853,2098,2347,2370
連江縣,904,985,655,906,580,635,1017,1709,1558,737
