新北市,0,0,0,35,232,211,236,132,81,42
臺北市,0,0,0,17,135,127,125,96,73,71
桃園市,0,0,0,38,134,181,189,187,203,172
臺中市,0,0,0,7,48,57,6279,5465,5929,5622
臺南市,0,0,0,6,56,84,104,115,134,185
高雄市,0,0,0,10,126,109,74,67,93,101
宜蘭縣,0,0,0,9,19,188,476,396,392,329
新竹縣,0,0,0,0,5,3,5,9,18,28
苗栗縣,0,0,0,2,23,62,9,18,12,15
彰化縣,0,0,0,6,21,262,2207,2626,2694,3296
南投縣,0,0,0,4,33,510,719,904,751,869
雲林縣,0,0,0,0,35,34,41,141,455,462
嘉義縣,0,0,0,4,35,29,28,26,29,35
屏東縣,0,0,0,3,39,39,45,34,39,42
臺東縣,0,0,0,68,324,340,379,330,300,252
花蓮縣,0,0,0,1,15,1182,1192,1055,1113,984
澎湖縣,0,0,0,2,6,22,74,142,169,153
基隆市,0,0,0,3,19,33,67,67,109,104
新竹市,0,0,0,50,182,392,213,184,132,111
嘉義市,0,0,0,1,9,0,14,183,858,515
金門縣,0,0,0,6,81,86,80,105,113,71
連江縣,0,0,0,4,24,28,33,33,39,28
