新北市,39824,43763,46116,51655,49643,64118,73554,82324,83822,104767
臺北市,16031,15110,15150,18623,13493,9830,8166,7914,12483,15897
桃園市,34286,31573,35801,37297,34090,37218,52028,62347,79520,81508
臺中市,33240,37282,34717,37607,37437,44726,68113,81051,76161,78096
臺南市,21662,19276,19359,21779,24277,30719,35167,42650,53810,61912
高雄市,53905,61328,64322,34861,27884,27880,35699,52448,56276,54590
宜蘭縣,9883,9868,10289,7294,7869,8433,12075,16739,15574,18051
新竹縣,5691,6361,7631,8713,8973,8762,11212,14439,16231,16795
苗栗縣,8316,8866,8392,8380,10327,12590,15270,18772,20934,17419
彰化縣,14840,16809,18503,16631,16661,20024,26981,35334,93492,83151
南投縣,8266,9800,9654,10580,11142,10756,11827,12850,15933,17239
雲林縣,5913,6922,7634,7669,7740,8443,8803,10923,12281,12726
嘉義縣,8965,10601,10700,11213,12311,17246,17641,19174,20867,20792
屏東縣,9946,11751,11973,13743,15342,18071,20569,23580,24601,30767
臺東縣,7832,8804,9848,10686,8751,10920,11725,13077,13074,14598
花蓮縣,5672,5559,6327,5849,7494,6922,7645,7675,10287,13851
澎湖縣,1091,1082,1206,1226,1199,1709,1835,2194,2304,1901
基隆市,8085,7644,7130,4622,5270,6207,6844,9751,9886,10109
新竹市,3349,3261,3488,5209,4506,4349,7414,8224,8687,8048
嘉義市,3334,3592,4166,4470,5923,8047,8834,12692,13772,12253
金門縣,1039,1106,1040,1295,1267,1583,1894,1896,1873,2137
連江縣,147,404,410,419,362,239,279,338,374,326
